id,title,autor,score,timestamp,type
27865033,Unique Peer to Peer Cryptocurrency Exchange Needs UX Designer (Haveno DEX),bibble,1,2021-07-17 11:18:47 UTC,story
27865067,TY Beanie Baby Robot,slightlyCyborg,1,2021-07-17 11:27:30 UTC,story
27865085,Huawei will soon release HarmonyOS professional certification program,DeadBeatDad,1,2021-07-17 11:34:04 UTC,story
27865151,Book Scanning Robot,slightlyCyborg,1,2021-07-17 11:49:13 UTC,story
27865162,How to Create a Pitch Deck Narrative,acremades,1,2021-07-17 11:51:44 UTC,story
27865193,Ask HN: Best commenting system for website/blog,gabrieltanner,1,2021-07-17 11:58:46 UTC,story
27865195,NLP Driven Sentiment Analysis in Financial Services: 4 Use Cases,DanaKachan8,1,2021-07-17 11:59:57 UTC,story
27865200,Why Emerging Market Economies Are Fertile Ground for Fintech,DanaKachan8,1,2021-07-17 12:00:33 UTC,story
27865226,Renovation School Library for Calvary Baptist Academy Gembu,gkingsleyn1,1,2021-07-17 12:05:56 UTC,story
27865231,Best Android Diet Apps to Stay Healthy and Fit (2021),techdator,1,2021-07-17 12:06:54 UTC,story
27865292,Show HN: Tweet beautiful images of your writing,yangp10,1,2021-07-17 12:21:30 UTC,story
27865311,,,,2021-07-17 12:26:32 UTC,story
27865318,Show HN: I went back in time and curated a list of all key AI breakthroughs,umermirzapk,1,2021-07-17 12:28:55 UTC,story
27865353,Olivier Giroud Has Completed a Permanent Deal with AC Milan,Wonderkid7,1,2021-07-17 12:38:18 UTC,story
27865502,Open-source tool to help you study software development,lucasmontano,1,2021-07-17 13:07:24 UTC,story
27865520,Sending Bulk Job Applications,Mmmsabeel,1,2021-07-17 13:11:37 UTC,story
27865561,Simple Ways to Be Less Divisive,pplonski86,1,2021-07-17 13:18:12 UTC,story
27865562,,,,2021-07-17 13:18:15 UTC,story
27865618,What are the facts of the “Covid-19 lab leak” theory?,Timtimini,1,2021-07-17 13:27:45 UTC,story
27865639,,,,2021-07-17 13:31:23 UTC,story
27865811,How to Do Pose Estimation with MoveNet,Leemarose,1,2021-07-17 14:00:30 UTC,story
27865833,A financial fairytale: how one man fooled the global elite,known,1,2021-07-17 14:05:27 UTC,story
27865873,Different Approaches for Time Series Analysis,alod83,1,2021-07-17 14:11:25 UTC,story
27865900,,staccatomeasure,1,2021-07-17 14:14:40 UTC,story
27865955,How to Delete Books from Kindle – Tips for Kindle,technologyeve,1,2021-07-17 14:20:56 UTC,story
27865958,,,,2021-07-17 14:21:14 UTC,story
27865970,Show HN: Featured on BetaList,fben,1,2021-07-17 14:22:23 UTC,story
27865997,نکات مهم در خرید اینترنتی,hno0025,1,2021-07-17 14:25:28 UTC,story
27866138,What Are the Spiritual Gifts? – God's Good News,sunelpal3398,1,2021-07-17 14:44:41 UTC,story
27866199,Must-Use Developer Tools for Increased Efficiency,mahdhirezvi,1,2021-07-17 14:54:17 UTC,story
27866218,How to Find Short-Squeeze Stocks,greengobbler,1,2021-07-17 14:56:33 UTC,story
27866283,Adding emergent value to organizations and workers alike,zauberberg,1,2021-07-17 15:06:33 UTC,story
27866298,The Luckiest People Filmed on Camera Hindi,superearth2020,1,2021-07-17 15:08:48 UTC,story
27866299,SEO: Posizionare Siti Web,consulente-seo,1,2021-07-17 15:09:02 UTC,story
27866409,The first 3D-printed steel bridge has opened in Amsterdam,hvleijen,1,2021-07-17 15:22:58 UTC,story
27866490,The Race to the Moon: Why Crypto Projects Have to Modernize Their Blockchains,sezgin25,1,2021-07-17 15:34:09 UTC,story
27866538,Techniques (free) to make your website known on the internet,donparousa,1,2021-07-17 15:40:49 UTC,story
27866543,Don't improve debugging. Kill it,sarvasvkulpati,1,2021-07-17 15:41:40 UTC,story
27866742,What Are Enums in TypeScript,atomicts,1,2021-07-17 16:06:35 UTC,story
27866784,Stylish Nigerian Musicians You Should Take Style Lessons From,itsandi,1,2021-07-17 16:14:45 UTC,story
27866789,Using Open Source Tools at Your Company with Doron Gill of Logz.io,ConorBronsdon,1,2021-07-17 16:15:49 UTC,story
27866802,WhatsApp Testing Encrypted Cloud Backups for Android,techdator,1,2021-07-17 16:16:44 UTC,story
27866987,Dunning-Kruger Creates Dr. Deaths,airhead969,1,2021-07-17 16:44:11 UTC,story
27867047,,,,2021-07-17 16:52:09 UTC,story
27867082,Emergency Boiler Services to Contact in Plymouth,rabplumbingandh,1,2021-07-17 16:56:09 UTC,story
27867109,Simple Ways to Be Less Divisive in Meetings,catchmeifyoucan,1,2021-07-17 16:59:24 UTC,story
27867146,Two-thirds of Southern Republicans want to secede,tonyedgecombe,24,2021-07-17 17:05:17 UTC,story
27867233,Best Google Chrome Themes You Should Use in 2021,techdator,1,2021-07-17 17:16:30 UTC,story
27867237,I Asked an AI to Write Absurd Fake News,yuna_hashimoto,1,2021-07-17 17:16:48 UTC,story
27867255,Why jK8vge4D isn’t a good password,yuna_hashimoto,1,2021-07-17 17:18:48 UTC,story
27867277,"Binance: Italy, Lithuania, Hong Kong, all issue warnings; Brazil director quits",amycastor,1,2021-07-17 17:21:43 UTC,story
27867299,Firefox Relay Comparison with SimpleLogin,sonmicrosystems,1,2021-07-17 17:23:33 UTC,story
27867346,UML diagram for GoF design pattern examples in Python,takaakit,1,2021-07-17 17:29:43 UTC,story
27867416,Automatic Image Slider Using HTML CSS and JavaScript,backlinkn,1,2021-07-17 17:40:11 UTC,story
27867442,How to add a map to a Website or Web App using Mapbox,matthewrungwe,1,2021-07-17 17:45:00 UTC,story
27867490,Email Love – Email inspiration and Newsletter discovery,propwash,1,2021-07-17 17:52:21 UTC,story
27867500,Photoshop artist has got some nice skills,owaisin,1,2021-07-17 17:53:39 UTC,story
27867579,Why Are You Still Creating CRUD APIs?,mkslwsk,1,2021-07-17 18:08:34 UTC,story
27867600,World Ivermectin Day,throwawayswede,4,2021-07-17 18:10:45 UTC,story
27867618,"Even as Covid eases, cloud computing and AWS keep flying high",robh56,1,2021-07-17 18:13:09 UTC,story
27867664,The Race to the Moon: Why Crypto Projects Have to Modernize Their Blockchains,barringston,1,2021-07-17 18:19:56 UTC,story
27867685,Intelligent Civilizations May Have Spotted Earth as a Transiting Exoplanet,Guardianmag,1,2021-07-17 18:22:55 UTC,story
27867760,Resetting wrong expectations for your job search,joshuawootonn,1,2021-07-17 18:32:58 UTC,story
27867799,WHat's your ultimate camera configuration for video podcasting?,discoposse,1,2021-07-17 18:36:43 UTC,story
27867905,The true cost of the Steam Deck is higher than you think,sheldor,1,2021-07-17 18:52:34 UTC,story
27867911,,,,2021-07-17 18:53:25 UTC,story
27867917,Large Telescope captures a cosmic fireworks display,sheldor,1,2021-07-17 18:54:17 UTC,story
27867943,Inside the high-precision world of India's power grid management,rustoo,1,2021-07-17 18:57:58 UTC,story
27867995,Hashing Phone Numbers for 2-Factor Authentication,theabbie,1,2021-07-17 19:05:09 UTC,story
27868006,Credit Solution,mason727,1,2021-07-17 19:06:33 UTC,story
27868017,TikTok Was the Most Downloaded and Highest Grossing Non-Game App Worldwide,hassanahmad,1,2021-07-17 19:08:10 UTC,story
27868021,The ultimate reading list if you love to delve into the mind,rustoo,1,2021-07-17 19:08:37 UTC,story
27868152,Show HN: Digital Signature – ERP Integration Video POC,blackarck,1,2021-07-17 19:31:40 UTC,story
27868316,,,,2021-07-17 19:55:25 UTC,story
27868333,Let’s say you’ve decided to start a startup in 2021,jeremy_stuart,1,2021-07-17 19:58:08 UTC,story
27868534,,,,2021-07-17 20:25:10 UTC,story
