id,titulo,autor,score,comentarios,timestamp
16582136,Stephen Hawking has died,Cogito,6015,436,2018-03-14 03:50:30 UTC
11116274,A Message to Our Customers,epaga,5771,967,2016-02-17 08:38:37 UTC
38309611,OpenAI's board has fired Sam Altman,davidbarker,5710,2530,2023-11-17 20:28:50 UTC
39865810,Backdoor in upstream xz/liblzma leading to SSH server compromise,rkta,4549,1849,2024-03-29 16:16:50 UTC
41002195,CrowdStrike Update: Windows Bluescreen and Boot Loops,BLKNSLVR,4489,3859,2024-07-19 05:26:13 UTC
3078128,Steve Jobs has passed away.,patricktomas,4338,363,2011-10-05 23:42:23 UTC
37011324,Bram Moolenaar has died,wufocaculura,4310,428,2023-08-05 12:23:27 UTC
31261533,Mechanical Watch,todsacerdoti,4298,413,2022-05-04 15:06:41 UTC
24872911,YouTube-dl has received a DMCA takedown from RIAA,phantop,4240,1443,2020-10-23 19:26:35 UTC
47340079,Don't post generated/AI-edited comments. HN is for conversation between humans,usefulposter,4229,1668,2026-03-11 19:29:29 UTC
13682022,"Reflecting on one very, very strange year at Uber",grey-area,4107,1013,2017-02-19 21:16:33 UTC
26699106,Google’s copying of the Java SE API was fair use [pdf],pdoconnell,4103,932,2021-04-05 14:04:22 UTC
35154527,GPT-4,e0m,4091,2507,2023-03-14 16:55:34 UTC
27424195,Replit used legal threats to kill my open-source project,raxod502,4022,1274,2021-06-07 16:08:04 UTC
26296339,How I cut GTA Online loading times by 70%,kuroguro,3883,699,2021-02-28 19:38:26 UTC
23065782,"Bye, Amazon",grey-area,3816,1097,2020-05-04 08:43:35 UTC
36795173,Kevin Mitnick has died,thirtyseven,3699,613,2023-07-19 23:53:59 UTC
39386156,Sora: Creating video from text,davidbarker,3647,2231,2024-02-15 18:14:18 UTC
30347719,Google Search Is Dying,dbrereton,3636,1561,2022-02-15 15:29:20 UTC
22107823,Every Google result now looks like an ad,cmod,3592,972,2020-01-21 15:38:22 UTC
3742902,Show HN: This up votes itself,olalonde,3531,82,2012-03-23 00:40:39 UTC
47939579,Ghostty is leaving GitHub,WadeGrimridge,3521,1051,2026-04-28 19:44:52 UTC
28550764,A search engine that favors text-heavy sites and punishes modern web design,Funes-,3441,717,2021-09-16 12:16:14 UTC
36245435,Apollo will close down on June 30th,timf,3421,1609,2023-06-08 17:22:27 UTC
45283887,Slack has raised our charges by $195k per year,JustSkyfall,3406,1470,2025-09-18 01:37:11 UTC
29845208,My First Impressions of Web3,natdempk,3393,1127,2022-01-07 21:41:56 UTC
37392676,Ask HN: I’m an FCC Commissioner proposing regulation of IoT security updates,SimingtonFCC,3387,925,2023-09-05 15:07:21 UTC
15924794,F.C.C. Repeals Net Neutrality Rules,panny,3384,1431,2017-12-14 18:13:35 UTC
34804874,Bing: “I will not harm you unless you harm me first”,simonw,3363,1673,2023-02-15 15:14:15 UTC
26487854,"GitHub, fuck your name change",leontrolski,3353,2007,2021-03-17 08:11:38 UTC
46205632,Show HN: Gemini Pro 3 imagines the HN front page 10 years from now,keepamovin,3346,965,2025-12-09 15:00:38 UTC
20052623,Switch from Chrome to Firefox,WisNorCan,3287,983,2019-05-30 16:09:19 UTC
22918980,"Ask HN: I'm a software engineer going blind, how should I prepare?",zachrip,3270,473,2020-04-19 21:33:46 UTC
13718752,Cloudflare Reverse Proxies Are Dumping Uninitialized Memory,tptacek,3238,992,2017-02-23 23:05:08 UTC
42797260,Show HN: I made an open-source laptop from scratch,byran,3237,323,2025-01-22 20:41:52 UTC
29250063,"“Click to subscribe, call to cancel” is illegal, FTC says",spzx,3192,861,2021-11-17 07:22:16 UTC
35096877,FDIC Takes over Silicon Valley Bank,khuey,3172,1576,2023-03-10 16:46:06 UTC
48511072,Statement on US government directive to suspend access to Fable 5 and Mythos 5,Dylan1312,3158,2314,2026-06-13 00:51:30 UTC
40345775,GPT-4o,Lealen,3138,2366,2024-05-13 17:28:00 UTC
42443229,Moon,todsacerdoti,3128,250,2024-12-17 17:26:26 UTC
11966167,UK votes to leave EU,dmmalam,3125,2530,2016-06-24 03:48:57 UTC
25015967,"Biden wins White House, vowing new direction for divided U.S.",granzymes,3089,4576,2020-11-07 16:25:47 UTC
8532261,Tim Cook Speaks Up,replicatorblog,3086,974,2014-10-30 11:12:23 UTC
42611536,Stimulation Clicker,meetpateltech,3082,589,2025-01-06 15:48:50 UTC
33249215,Sound,todsacerdoti,3053,206,2022-10-18 15:48:16 UTC
