hora_publicacao,total_publicacoes,media_score,media_comentarios
0,151762,16.54,8.01
1,141644,16.17,7.81
2,135129,16.06,7.8
3,128376,15.96,7.68
4,123582,15.51,7.49
5,123939,15.28,7.33
6,130652,14.82,7.23
7,137677,14.75,7.17
8,144315,15.02,7.45
9,153207,15.45,7.77
10,165352,16.25,8.4
11,189727,17.1,9
12,226878,17.38,9.22
13,274394,16.68,8.95
14,315376,16.1,8.56
15,335791,16.34,8.59
16,339602,16.5,8.35
17,327838,16.41,8.09
18,308260,16.22,7.97
19,282768,15.84,7.68
20,264085,15.51,7.4
21,239561,15.48,7.34
22,204465,15.63,7.49
23,172397,16.06,7.76
