autor,total_publicacoes,media_score,media_comentarios,score_total
sama,124,213.32,98.86,26452
gdb,59,204.8,66.71,12083
whoishiring,536,189.63,353.9,101643
jart,57,157.77,44.4,8993
meetpateltech,603,152.26,86.14,91814
TiredOfLife,92,152.15,81.61,13998
kotaKat,50,150.68,100.74,7534
kragniz,50,141.44,73.48,7072
_zhqs,69,140.83,76.13,9717
raphlinus,56,131.82,50.09,7382
isp,84,130.29,53.05,10944
ddevault,128,121.58,67.22,15562
antirez,87,118.69,52.17,10326
whatok,72,111.33,66.59,8016
craigcannon,206,110.74,47.71,22812
simonw,359,110.25,48.47,39578
schoen,54,106.74,29.56,5764
friggeri,59,105.24,40.44,6209
input_sh,50,104.4,45.6,5220
pc,66,102.95,44.23,6795
