ano,total_publicacoes,media_score,media_comentarios
2006,47,6.09,0.17
2007,22463,5.1,3.08
2008,70086,6.27,3.26
2009,110588,8.78,3.98
2010,179135,10.1,4.28
2011,292627,9.44,3.04
2012,311387,9.61,3.56
2013,298495,11.71,5.19
2014,247546,13.68,5.82
2015,260066,14.03,5.9
2016,283357,15.71,7.04
2017,286677,16.92,7.83
2018,276798,17.68,8.21
2019,300877,18.3,8.72
2020,339630,17.68,9.1
2021,290670,21.69,12.29
2022,299083,21.24,12.88
2023,317352,21.01,12.58
2024,297578,18.92,10.42
2025,301868,19.66,10.76
2026,230447,18.95,9.99
