numero_dia,dia_semana,hora_publicacao,total_publicacoes,media_score,media_comentarios
1,Sunday,0,15860,20.01,9.82
1,Sunday,1,14784,18.75,9
1,Sunday,2,13829,18.68,8.74
1,Sunday,3,13202,18.38,8.84
1,Sunday,4,12797,18.41,9.07
1,Sunday,5,12385,18.63,9.37
1,Sunday,6,12285,18.86,9
1,Sunday,7,12661,18.71,9.12
1,Sunday,8,13460,19.35,9.7
1,Sunday,9,14207,19.5,9.85
1,Sunday,10,15543,19.07,9.73
1,Sunday,11,17515,21.66,11.22
1,Sunday,12,19716,21.59,11.22
1,Sunday,13,22026,19.57,10.15
1,Sunday,14,25585,18.71,9.8
1,Sunday,15,27602,19.87,10.35
1,Sunday,16,28518,19.22,9.79
1,Sunday,17,28728,19.46,9.95
1,Sunday,18,28398,19.42,9.83
1,Sunday,19,27165,19.47,9.37
1,Sunday,20,25765,18.88,9.38
1,Sunday,21,24512,19.1,9.37
1,Sunday,22,21811,19.3,9.7
1,Sunday,23,19227,19.25,9.69
2,Monday,0,18020,18.43,9.46
2,Monday,1,17865,19.18,9.35
2,Monday,2,18165,18.18,9.12
2,Monday,3,17308,17.46,8.44
2,Monday,4,17147,16.99,8.09
2,Monday,5,17586,16.05,7.69
2,Monday,6,19335,15.51,7.06
2,Monday,7,20725,15.86,7.85
2,Monday,8,21939,15.96,7.92
2,Monday,9,23323,15.82,8.21
2,Monday,10,25293,16.64,8.69
2,Monday,11,29907,16.37,8.8
2,Monday,12,35756,17.12,8.96
2,Monday,13,44318,15.82,8.47
2,Monday,14,51552,15.88,8.3
2,Monday,15,54905,15.9,8.6
2,Monday,16,55585,16.2,8.23
2,Monday,17,53506,16.09,7.99
2,Monday,18,49833,15.49,7.61
2,Monday,19,45901,15.59,7.44
2,Monday,20,43044,15.47,7.22
2,Monday,21,38926,14.83,7.23
2,Monday,22,32855,15.04,7.12
2,Monday,23,27503,15.83,7.7
3,Tuesday,0,24246,15.98,7.79
3,Tuesday,1,22911,15.34,7.57
3,Tuesday,2,21679,16.04,7.88
3,Tuesday,3,20929,15.75,7.72
3,Tuesday,4,19896,14.85,7.14
3,Tuesday,5,20038,14.02,6.58
3,Tuesday,6,21658,13.48,6.46
3,Tuesday,7,22946,13.74,6.53
3,Tuesday,8,23863,14.42,7.04
3,Tuesday,9,25729,14.68,7.6
3,Tuesday,10,27576,15.65,8.36
3,Tuesday,11,31954,15.93,8.43
3,Tuesday,12,39430,16.27,8.71
3,Tuesday,13,48726,15.84,8.49
3,Tuesday,14,56012,15.69,8.4
3,Tuesday,15,60118,16.18,8.47
3,Tuesday,16,60248,16.09,7.95
3,Tuesday,17,57737,16.64,8.09
3,Tuesday,18,53598,15.6,7.74
3,Tuesday,19,48600,14.48,6.87
3,Tuesday,20,45239,14.57,6.79
3,Tuesday,21,40449,14.48,6.8
3,Tuesday,22,34536,14.45,6.85
3,Tuesday,23,28039,14.69,6.94
4,Wednesday,0,24817,15.05,6.94
4,Wednesday,1,22986,15.66,7.6
4,Wednesday,2,22183,15.29,7.63
4,Wednesday,3,21351,14.88,7.29
4,Wednesday,4,20084,14.52,7.03
4,Wednesday,5,20884,14.45,7.06
4,Wednesday,6,21502,14.93,7.85
4,Wednesday,7,22902,13.44,6.77
4,Wednesday,8,24283,14.46,7.11
4,Wednesday,9,25408,14.22,6.93
4,Wednesday,10,27531,15.73,8.02
4,Wednesday,11,31864,16.43,8.66
4,Wednesday,12,38598,16.43,9.12
4,Wednesday,13,47637,16.09,8.93
4,Wednesday,14,55103,15.47,8.21
4,Wednesday,15,57901,15.96,8.31
4,Wednesday,16,58383,16.16,8.15
4,Wednesday,17,56363,15.65,7.78
4,Wednesday,18,52547,15.34,7.26
4,Wednesday,19,47496,15.32,7.72
4,Wednesday,20,44749,14.37,6.84
4,Wednesday,21,40434,14.56,6.88
4,Wednesday,22,33707,14.72,7.02
4,Wednesday,23,28243,15.56,7.38
5,Thursday,0,24697,16.04,7.84
5,Thursday,1,22959,15.22,7.4
5,Thursday,2,21970,15.15,7.34
5,Thursday,3,20720,15.16,7.17
5,Thursday,4,19884,14.38,6.97
5,Thursday,5,20007,14.2,6.76
5,Thursday,6,21172,12.98,6.45
5,Thursday,7,22669,13.18,6.32
5,Thursday,8,23628,13.14,6.68
5,Thursday,9,25180,14.62,7.18
