story_id,titulo,autor_story,score,total_comentarios
46618714,Ask HN: Share your personal website,susam,950,2202
36575081,Ask HN: Could you share your personal blog here?,revskill,1014,1810
363,Please tell us what features you'd like in news.ycombinator,pg,262,1315
23170881,Ask HN: What's your quarantine side project?,dhr,1336,1105
30934529,Ask HN: Share your personal site,MaxLeiter,665,1051
27355392,Ask HN: Who is hiring? (June 2021),whoishiring,365,1041
16967543,Ask HN: Who is hiring? (May 2018),whoishiring,587,1033
29067493,Ask HN: Who is hiring? (November 2021),whoishiring,383,1011
13541679,Ask HN: Who is hiring? (February 2017),whoishiring,690,1008
25989764,Ask HN: Who is hiring? (February 2021),whoishiring,461,994
28380661,Ask HN: Who is hiring? (September 2021),whoishiring,355,970
15601729,Ask HN: Who is hiring? (November 2017),whoishiring,624,968
18113144,Ask HN: Who is hiring? (October 2018),whoishiring,542,952
26304051,Ask HN: Who is hiring? (March 2021),whoishiring,361,948
27699704,Ask HN: Who is hiring? (July 2021),whoishiring,399,931
15384262,Ask HN: Who is hiring? (October 2017),whoishiring,678,930
26661443,Ask HN: Who is hiring? (April 2021),whoishiring,416,928
18354503,Ask HN: Who is hiring? (November 2018),whoishiring,539,928
47741527,Ask HN: What Are You Working On? (April 2026),david927,347,924
17663077,Ask HN: Who is hiring? (August 2018),whoishiring,448,918
14238005,Ask HN: Who is hiring? (May 2017),whoishiring,589,913
16492994,Ask HN: Who is hiring? (March 2018),whoishiring,592,909
9812245,Ask HN: Who is hiring? (July 2015),whoishiring,673,902
12846216,Ask HN: Who is hiring? (November 2016),whoishiring,711,897
46264491,Ask HN: What Are You Working On? (December 2025),david927,439,897
27025922,Ask HN: Who is hiring? (May 2021),whoishiring,328,894
28037366,Ask HN: Who is hiring? (August 2021),whoishiring,357,889
16735011,Ask HN: Who is hiring? (April 2018),whoishiring,612,884
48528779,Ask HN: What are you working on? (June 2026),david927,312,878
45869146,Ask HN: What Are You Working On? (Nov 2025),david927,464,864
30515750,Ask HN: Who is hiring? (March 2022),whoishiring,327,859
30164271,Ask HN: Who is hiring? (February 2022),whoishiring,269,856
19797594,Ask HN: Who is hiring? (May 2019),whoishiring,488,856
48884984,Ask HN: What Are You Working On? (July 2026),david927,292,855
48085993,Ask HN: What are you working on? (May 2026),david927,290,853
12627852,Ask HN: Who is hiring? (October 2016),whoishiring,620,843
16282819,Ask HN: Who is hiring? (February 2018),whoishiring,454,839
15824597,Ask HN: Who is hiring? (December 2017),whoishiring,592,838
28719320,Ask HN: Who is hiring? (October 2021),whoishiring,375,830
13764728,Ask HN: Who is hiring? (March 2017),whoishiring,478,829
11814828,Ask HN: Who is hiring? (June 2016),whoishiring,644,820
15148885,Ask HN: Who is hiring? (September 2017),whoishiring,573,819
18589702,Ask HN: Who is hiring? (December 2018),whoishiring,421,819
49233423,Ask HN: What are you working on? (August 2026),david927,317,818
18807017,Ask HN: Who is hiring? (January 2019),whoishiring,587,809
31235968,Ask HN: Who is hiring? (May 2022),whoishiring,390,806
14688684,Ask HN: Who is hiring? (July 2017),whoishiring,635,806
17205865,Ask HN: Who is hiring? (June 2018),whoishiring,450,796
20325925,Ask HN: Who is hiring? (July 2019),whoishiring,485,792
29405056,Ask HN: Who is hiring? (December 2021),whoishiring,304,791
19543940,Ask HN: Who is hiring? (April 2019),whoishiring,400,791
9303396,Ask HN: Who is hiring? (April 2015),_whoishiring,473,785
44416093,Ask HN: What Are You Working On? (June 2025),david927,439,783
12202865,Ask HN: Who is hiring? (August 2016),whoishiring,534,780
19281834,Ask HN: Who is hiring? (March 2019),whoishiring,398,780
30878761,Ask HN: Who is hiring? (April 2022),whoishiring,264,778
14460777,Ask HN: Who is hiring? (June 2017),whoishiring,461,778
17442187,Ask HN: Who is hiring? (July 2018),whoishiring,425,776
14901313,Ask HN: Who is hiring? (August 2017),whoishiring,439,775
47303111,Ask HN: What Are You Working On? (March 2026),david927,290,774
31582796,Ask HN: Who is hiring? (June 2022),whoishiring,390,770
21126014,Ask HN: Who is hiring? (October 2019),whoishiring,380,760
32572770,Show HN: Pornpen.ai – AI-Generated Porn,dreampen,711,759
20584311,Ask HN: Who is hiring? (August 2019),whoishiring,370,755
10492086,Ask HN: Who is hiring? (November 2015),whoishiring,512,754
14023198,Ask HN: Who is hiring? (April 2017),whoishiring,513,753
46937696,Ask HN: What are you working on? (February 2026),david927,334,750
25632982,Ask HN: Who is hiring? (January 2021),whoishiring,407,749
41342017,Ask HN: What are you working on (August 2024)?,david927,634,746
24651639,Ask HN: Who is hiring? (October 2020),whoishiring,426,746
19055166,Ask HN: Who is hiring? (February 2019),whoishiring,407,735
10152809,Ask HN: Who is hiring? (September 2015),whoishiring,436,734
17902901,Ask HN: Who is hiring? (September 2018),whoishiring,486,734
12016568,Ask HN: Who is hiring? (July 2016),whoishiring,566,734
24969524,Ask HN: Who is hiring? (November 2020),whoishiring,348,729
25266288,Ask HN: Who is hiring? (December 2020),whoishiring,339,729
31503201,Ask HN: What game do you wish existed?,jharohit,859,725
11202954,Ask HN: Who is hiring? (March 2016),whoishiring,488,712
16052538,Ask HN: Who is hiring? (January 2018),whoishiring,513,709
11611867,Ask HN: Who is hiring? (May 2016),whoishiring,553,708
29782099,Ask HN: Who is hiring? (January 2022),whoishiring,339,698
9471287,Ask HN: Who is hiring? (May 2015),_whoishiring,501,697
22648431,Ask HN: What projects are you working on now?,sakopov,809,697
20083795,Ask HN: Who is hiring? (June 2019),whoishiring,407,697
13080280,Ask HN: Who is hiring? (December 2016),whoishiring,458,692
21419536,Ask HN: Who is hiring? (November 2019),whoishiring,402,687
12405698,Ask HN: Who is hiring? (September 2016),whoishiring,521,683
11012044,Ask HN: Who is hiring? (February 2016),whoishiring,455,678
32306920,Ask HN: Who is hiring? (August 2022),whoishiring,446,674
22465476,Ask HN: Who is hiring? (March 2020),whoishiring,400,671
24038520,Ask HN: Who is hiring? (August 2020),whoishiring,592,670
48357724,Ask HN: Who wants to be hired? (June 2026),whoishiring,154,667
25783152,Ask HN: What are you working on?,dvt,529,661
47975570,Ask HN: Who wants to be hired? (May 2026),whoishiring,153,661
10311580,Ask HN: Who is hiring? (October 2015),whoishiring,368,657
13301832,Ask HN: Who is hiring? (January 2017),whoishiring,612,649
49156682,Ask HN: Who wants to be hired? (August 2026),whoishiring,160,648
20867123,Ask HN: Who is hiring? (September 2019),whoishiring,326,647
46857487,Ask HN: Who wants to be hired? (February 2026),whoishiring,142,646
43815523,Ask HN: What are you working on? (April 2025),david927,410,642
